text,coarse_label,fine_label,label,source_line
what is olestra ?,DESC,def,1,780
what does jessica mean ?,ABBR,exp,0,3189
"what do the letters ce stand for on so many products , particularly electrical , purchased now ?",ABBR,exp,0,4263
what does inuit and eskimo mean ?,DESC,def,1,445
what are the historical trials following world war ii called ?,ENTY,event,2,4983
what does necrosis mean ?,ABBR,exp,0,1717
where did sarge steel get his metal hand ?,LOC,other,4,459
"why do usa fax machines not work in uk , nnp ?",DESC,reason,1,5033
how many leos have been pope ?,NUM,count,5,2016
how many cables support the main span of the golden gate bridge ?,NUM,count,5,4015
what country would you visit to ski in the dolomites ?,LOC,country,4,3218
what was the education system in the 1960 's ?,ENTY,other,2,212
what is the `` global economy '' ?,DESC,def,1,3220
what is svhs ?,ABBR,exp,0,4252
when was the first practical commercial typewriter marketed ?,NUM,date,5,3870
what currency is used in australia ?,ENTY,currency,2,5452
how many flavors does baskin & robbins offer ?,NUM,count,5,4462
what was the name of the flight that fawaz younis hijacked ?,ENTY,veh,2,4215
what is a cake of soap ?,DESC,def,1,3295
what basketball maneuver did bert loomis invent ?,ENTY,techmeth,2,1582
what does s.o.s. stand for ?,ABBR,exp,0,222
"what is p.m. an abbreviation for , as in 5 p.m. ?",ABBR,exp,0,5261
what european country abandoned postage stamps in 1923 because printing them cost more than their face value ?,LOC,country,4,4675
what is the name of the brilliant british economist behind its creation ?,HUM,ind,3,3039
what are the names of all the seas in the world and what ocean do they drain into ?,LOC,other,4,4335
what university fired angela davis ?,HUM,gr,3,3537
what is the nickname of the cleveland indians ?,ENTY,termeq,2,3740
what does the word laser mean ?,ABBR,exp,0,855
what does ph stand for ?,ABBR,exp,0,5013
how old was lucille ball when the show `` i love lucy '' premiered ?,NUM,period,5,3757
how many rings are there on a five-zone archery target ?,NUM,count,5,3093
what does the `` c '' stand for in the equation e=mc2 ?,ABBR,exp,0,2086
when did israel begin turning the gaza strip and jericho over to the plo ?,NUM,date,5,1236
who played emperor palpatine in star wars ?,HUM,ind,3,3541
mccarren airport is located in what city ?,LOC,city,4,509
what ship did lloyd m. bucher command ?,ENTY,veh,2,4888
what attorney-general ordered the closing of alcatraz ?,HUM,ind,3,4864
what does cpr stand for ?,ABBR,exp,0,5263
what does tiffany mean ?,DESC,def,1,2000
what 's the proud claim to fame of the young women who formed kappa alpha theta ?,DESC,reason,1,1989
where are the headquarters of eli lilly ?,LOC,other,4,2753
what country did the romans call hibernia ?,LOC,country,4,3163
where was christopher columbus born ?,LOC,other,4,292
what is a fear of water ?,ENTY,dismed,2,2199
"what scandinavian country covers 173 , 732 square miles ?",LOC,country,4,3873
what five cards make up a perfect cribbage hand ?,ENTY,other,2,2675
"what is the best place to live in the world , considering climate , civilization ?",LOC,other,4,4885
what chilean president was killed in a 1973 coup d 'etat ?,HUM,ind,3,2642
what does the t.s. stand for in t.s. eliot 's name ?,ABBR,exp,0,4055
what did martin luther post on the church door at wittenberg ?,ENTY,other,2,3461
what russian composer 's prelude in c sharp minor brought him fame and fortune ?,HUM,ind,3,233
what is the name of the american literary era that includes 1896 ?,ENTY,event,2,2336
what does sids stand for ?,ABBR,exp,0,519
what does the abbreviation ioc stand for ?,ABBR,exp,0,2593
what is `` the computer for the rest of us '' ?,DESC,desc,1,3887
what does shield stand for ?,ABBR,exp,0,2501
what woman was time 's man of the year for 1952 ?,HUM,ind,3,4628
