text,coarse_label,fine_label,label,source_line
what are the side effects of mevacor ?,DESC,desc,1,4513
what should the temperature be set at while baking peachy oat muffins ?,NUM,temp,5,5329
how many people in america snore ?,NUM,count,5,1103
what was the only country you were allowed to drive into israel from in 1979 ?,LOC,country,4,593
"who was the columbia pictures head who forged actor cliff robertson 's name on a $1 , 000 check ?",HUM,ind,3,3316
how many sonnets did shakespeare write ?,NUM,count,5,358
what is the amish religion ?,DESC,def,1,608
what is head start ?,DESC,def,1,1637
how many member states are in the un ?,NUM,count,5,1542
what does hiv stand for ?,ABBR,exp,0,3788
who was confucius ?,HUM,desc,3,4537
independent silversmith 's account for what percentage of silver production ?,NUM,perc,5,3631
when was the hoover dam constructed ?,NUM,date,5,3705
what species is a colt ?,ENTY,animal,2,848
what was queen victoria 's title regarding india ?,HUM,title,3,708
what is a chinese `` spouting '' bowl ?,DESC,def,1,2710
what is the average cost for four years of medical school ?,NUM,money,5,2908
how does salt melt ice and snow ?,DESC,manner,1,3129
why do movie and tv stars get paid so much ?,DESC,reason,1,4298
how many electoral votes does it take to win presidency ?,NUM,count,5,1964
what is the term for the side of the mountain that faces the prevailing winds ?,ENTY,termeq,2,2827
who was lacan ?,HUM,desc,3,1171
what river runs through liverpool ?,LOC,other,4,3670
what is the average time to kiss somene ?,NUM,period,5,3811
what aesop 's fable has the moral : `` the race is not always to the swift. slow and steady is bound to win '' ?,ENTY,cremat,2,2527
what 's the highest hand in straight poker ?,ENTY,other,2,2899
what is the smallest country in africa ?,LOC,country,4,850
what british prime minister and u.s. president were seventh cousins once-removed ?,HUM,ind,3,4716
how many feet long is a baseball pitcher 's rubber ?,NUM,count,5,2045
what was the name of the peace agreement imposed on germany after world war i ?,ENTY,other,2,2681
what mountain range is traversed by the highest railroad in the world ?,LOC,mount,4,908
how much electricity does the brain need to work ?,NUM,count,5,1066
what man-made waterways is 1.76 miles long ?,LOC,other,4,3643
what russian composer 's prelude in c sharp minor brought him fame and fortune ?,HUM,ind,3,233
what nevada center has been dubbed the biggest little city in the world ?,LOC,city,4,419
what is the goat population of the world ?,NUM,count,5,1308
what city has the two steepest streets in the u.s. ?,LOC,city,4,4985
what is the abbreviation for original equipment manufacturer ?,ABBR,abb,0,3911
when is bastille day ?,NUM,date,5,629
stuart hamblen is considered to be the first singing cowboy of what ?,ENTY,cremat,2,3688
what is glass made of ?,ENTY,substance,2,1930
what author of the days of our lives cookbook signed on in 198 as liz chandler in tv 's days of our lives ?,HUM,ind,3,2041
how many inches over six feet is tom selleck ?,NUM,count,5,4922
"how long is the world 's largest ship , in meters ?",NUM,dist,5,4056
what girl 's name is `` teddy '' an affectionate form of ?,HUM,ind,3,316
"what kind of creatures are black , yellow , and brown bullheads ?",ENTY,animal,2,4952
when was queen victoria born ?,NUM,date,5,1706
what city is graced by the arch of titus ?,LOC,city,4,5304
cnn is the abbreviation for what ?,ABBR,exp,0,262
"what do the number 1 , 2 , and 4 mean on dr. pepper bottles ?",DESC,def,1,2155
what should you yell to hail a taxi in madrid ?,DESC,desc,1,1728
what country was hitler the chancellor of ?,LOC,country,4,3060
what does u.s.s.r. stand for ?,ABBR,exp,0,1661
what asian leader was known as the little brown saint ?,HUM,ind,3,668
which way do you turn your bic to increase the flame - clockwise or counterclockwise ?,LOC,other,4,675
how many quarters equal a pound ?,NUM,count,5,663
in what year did joe dimaggio compile his 56-game hitting streak ?,NUM,date,5,5405
what kind of sport is often associated with hooligans ?,ENTY,sport,2,596
what kind of animal was winnie the pooh ?,ENTY,animal,2,1444
what democratic prankster waved the train out of the station while richard nixon spoke from the caboose ?,HUM,ind,3,4212
what comedian has a legendary reputation for stealing jokes ?,HUM,ind,3,1220
where can i find information on the cyclone that hit new jersey on 8/28/1941 ?,LOC,other,4,1221
"what 's the maximum length , in inches , of a first baseman 's glove ?",NUM,count,5,3646
what is a `` usb '' port on a computer ?,ABBR,exp,0,2138
who made the largest cocaine seizure in ventura county history ?,HUM,gr,3,3642
who claimed to be the world 's most perfectly-developed man ?,HUM,ind,3,2883
cnn is an acronym for what ?,ABBR,exp,0,3411
how much did a mcdonald 's hamburger cost in 1963 ?,NUM,money,5,5292
what does shield stand for ?,ABBR,exp,0,2501
how many home runs did babe ruth hit in his lifetime ?,NUM,count,5,5331
what are the most albums sold by one artist or band ?,ENTY,cremat,2,2893
what does bmw stand for ?,ABBR,exp,0,4336
what is the largest and most expensive freeway construction project in the u.s. right now ?,LOC,other,4,4929
what does nn o `` mean when used as a prefix in irish surnames ?,ABBR,exp,0,981
what does nasa stand for ?,ABBR,exp,0,3521
how many bytes are in a terabyte ?,NUM,count,5,3310
who is edmund kemper ?,HUM,desc,3,4304
"in 1990 , what day of the week did christmas fall on ?",NUM,date,5,5036
when is a woman most fertile ?,NUM,date,5,3017
what debts did qintex group leave ?,NUM,money,5,3573
"what famous coach said `` if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?",HUM,ind,3,4092
when was the first barbie produced ?,NUM,date,5,2092
what is the best hospital for orthopedics in the country ?,LOC,other,4,1605
what is the vdrl test of blood ?,DESC,def,1,3625
what is another name for nearsightedness ?,ENTY,termeq,2,3941
what does vcr stand for ?,ABBR,exp,0,3342
what is the immaculate conception ?,DESC,def,1,1029
"what singer became despondent over the death of freddie prinze , quit show business , and then quit the business ?",HUM,ind,3,1001
what two countries share the khyber pass ?,LOC,country,4,944
how many queen bees reign in a hive ?,NUM,count,5,4169
where is los vegas ?,LOC,other,4,3529
what is dtmf ?,ABBR,exp,0,3140
in what year did ireland elect its first woman president ?,NUM,date,5,814
what is the abbreviation of the national bureau of investigation ?,ABBR,abb,0,2650
how many pins are used in skittles ?,NUM,count,5,4072
what is a `` false moon '' ?,DESC,def,1,4149
what was the claim to fame of king camp gillette ?,DESC,reason,1,778
what do the letters zip stand for in the phrase `` zip code '' ?,ABBR,exp,0,1280
