text,coarse_label,fine_label,label,source_line
what country did king wenceslas rule ?,LOC,country,4,87
which ventura county police department seized the largest cocaine shipment in it 's history ?,HUM,gr,3,193
how many john deere tractors have been manufactured ?,NUM,count,5,5419
what is the nickname of the cleveland indians ?,ENTY,termeq,2,3740
what ocean was amelia earhart flying over when she disappeared ?,LOC,other,4,2144
how many colonies did germany get to keep after world war i ?,NUM,count,5,3324
what is the most common cancer ?,ENTY,dismed,2,4994
what u.s. city is the queen of the pacific ?,LOC,city,4,489
what is moxie ?,DESC,def,1,1785
what organization has a security council ?,HUM,gr,3,1714
rotary engines were manufactured by which company ?,HUM,gr,3,3764
how long ago did the anglican church part from the vatican ?,NUM,period,5,5048
how do you dunk ?,DESC,manner,1,4287
who loved flash gordon besides dale ?,HUM,ind,3,4913
what 's the fahrenheit equivalent of zero degrees centigrade ?,NUM,temp,5,4786
how many meters are in a mile ?,NUM,count,5,1838
how many members of a family could be drafted in the u.s. military during world war ii ?,NUM,count,5,4961
what is the secret of the universe ?,DESC,desc,1,1923
who invented the radio ?,HUM,ind,3,347
what part of their attire were `` pothooks '' to cowboys of the old west ?,ENTY,other,2,1756
what does freddy freeman say to become captain marvel jr. ?,DESC,desc,1,3059
what african country was founded by freed american slaves in 1847 ?,LOC,country,4,2168
who killed jfk ?,HUM,ind,3,5243
what time of year is air travel the heaviest ?,NUM,date,5,3677
what are the capital cities of the two large countries that occupy the iberian peninsula in europe ?,LOC,city,4,4368
what is the lost colony ?,DESC,def,1,2606
what is the largest snake in the world ?,ENTY,animal,2,115
where are the haversian canals ?,LOC,other,4,3915
who replaced bert parks as the host of the miss america pageant ?,HUM,ind,3,958
who was the first woman in space ?,HUM,ind,3,4242
what 's the term for any four-sided figure ?,ENTY,termeq,2,1247
name dondi 's adoptive grandfather .,HUM,ind,3,3319
what two major world religions began in india ?,ENTY,religion,2,3490
what nobel laureate was expelled from the philippines before the conference on east timor ?,HUM,ind,3,1268
what does the term 3 mean to a newspaper editor ?,DESC,def,1,3056
what qualifications are there for individuals donating blood ?,DESC,desc,1,4073
why is chicago named chicago ?,DESC,reason,1,4834
when was the congress of vienna ?,NUM,date,5,3320
how does one correctly pronounce ` qigong ' ?,DESC,manner,1,1864
who created the monster in mary shelley 's novel frankenstein ?,HUM,ind,3,3010
the major league baseball team in pittsburgh is called what ?,HUM,gr,3,1927
where do i find information for foreclosure properties on the internet ?,LOC,other,4,2925
"what actor , who had greatest fame on tv , became the father of triplets ?",HUM,ind,3,4488
what happens when lightning strikes a body of water ?,DESC,desc,1,2146
how many points is a disk in the center hole worth in crokinole ?,NUM,count,5,3592
when was florida admitted into the union ?,NUM,date,5,3997
where can one find mozambique ?,LOC,other,4,1691
how many times has harold stassen announced a drive for the white house ?,NUM,count,5,5030
what company is the largest japanese ship builder ?,HUM,gr,3,4963
