text,coarse_label,fine_label,label,source_line
what country has problems with hooligans ?,LOC,country,4,4518
what are the benefits of a rowing machine ?,DESC,desc,1,4907
how do i write to my congressman ?,DESC,manner,1,1775
what 's the official language of algeria ?,ENTY,lang,2,2037
where does mother angelica live ?,LOC,other,4,1851
what 's the claim to fame of night watchman frank wills ?,DESC,reason,1,3729
what explorer was nicknamed iberia 's pilot ?,HUM,ind,3,206
what is the definition of hazmat ?,DESC,def,1,2490
stuart hamblen is considered to be the first singing cowboy of which medium ?,ENTY,cremat,2,4992
where is the taj mahal ?,LOC,other,4,4610
what does jessica mean ?,ABBR,exp,0,3189
what is the name of miss india 1994 ?,HUM,ind,3,1919
what does the name billie mean ?,DESC,def,1,434
what personality traits are capricorns said to have ?,DESC,desc,1,4791
what 's the capital of monaco ?,LOC,city,4,4128
who was scrooge 's dead partner in dickens 's a christmas carol ?,HUM,ind,3,2821
what does shield stand for ?,ABBR,exp,0,2501
what is a chinese `` spouting '' bowl ?,DESC,def,1,2710
who banned peter rose from baseball for betting on games ?,HUM,ind,3,891
what is jane goodall famous for ?,DESC,reason,1,2548
how can i call a friend in another country when i do not know the telephone number ?,DESC,manner,1,4447
what 19th-century writer had a country estate on the hudson dubbed sunnyside ?,HUM,ind,3,731
how many types of dogs ' tails are there - three,NUM,count,5,403
where can i get piano music for the jamiroquai song everyday for the midi ?,LOC,other,4,3979
how many years make up a lustrum ?,NUM,count,5,3062
what is ram in the computer ?,ABBR,exp,0,4172
what 's bottled in jeroboams ?,ENTY,other,2,4068
what is the capital of uruguay ?,LOC,city,4,4054
what does the abbreviation ioc stand for ?,ABBR,exp,0,2593
"what college enlivens hanover , new hampshire ?",HUM,gr,3,3341
how do i make fuel bricks from recycled newspaper ?,DESC,manner,1,76
what does it take to be a hero ?,ENTY,other,2,3823
what 's the difference between j.d. and ll.m. ?,DESC,desc,1,1643
what did abolitionists try to end ?,ENTY,other,2,4524
where is procter & gamble headquartered in the u.s. ?,LOC,other,4,437
what is the name of the pop singer whose song became the theme song for a brand of catsup ?,HUM,ind,3,2881
how many colors are there in the spectrum ?,NUM,count,5,5337
what bread company used to feature stickers of the cisco kid on the ends of their packages ?,HUM,gr,3,2780
by how much will the california state gas tax rise by the year 2000 ?,NUM,money,5,3744
what does the t.s. stand for in t.s. eliot 's name ?,ABBR,exp,0,4055
name the three races unleashed by the celestials in marvel comics .,HUM,gr,3,3067
in what u.s. state was the first woman governor elected ?,LOC,state,4,424
who is stationed at camp swampy in the comic strips ?,HUM,ind,3,1617
what is the goat population of the world ?,NUM,count,5,1308
what is a handheld pc ?,DESC,def,1,1144
where were the 1936 summer olympics held ?,LOC,other,4,5191
what sport can a free-legged pacer compete in ?,ENTY,sport,2,5262
who is the prime minister in norway ?,HUM,ind,3,4065
what does a man suffering from diphallic terata have ?,ENTY,dismed,2,5258
what ill-fated american general dragged a bull terrier named willie through world war ii ?,HUM,ind,3,3354
what does the e stand for in the equation e=mc2 ?,ABBR,exp,0,3336
what are super balls made of ?,ENTY,substance,2,4040
what is the most commonly used 1 letter word in the english language ?,ENTY,word,2,3173
what causes rust ?,DESC,reason,1,1132
where are the leading medical groups specializing in lung diseases ?,LOC,other,4,913
what sea is bombay on ?,LOC,other,4,5162
what does the number `` 5 '' stand for on fubu clothing ?,ABBR,abb,0,3551
what is the lens behind the iris in the eye called ?,ENTY,termeq,2,2610
when did nostradamus believe world war iii would begin ?,NUM,date,5,2556
what tv show did john sebastian sing the theme for ?,ENTY,cremat,2,2973
what 's the first day of the week ?,NUM,date,5,723
how many emperors were there in the roman empire ?,NUM,count,5,2849
who was the first doctor to successfully transplant a liver ?,HUM,ind,3,3224
how many different countries export coffee ?,NUM,count,5,3893
what is a fear of color ?,ENTY,dismed,2,1627
what is a urologist ?,DESC,def,1,4066
what does knight ridder publish ?,ENTY,cremat,2,3477
which company created the internet browser mosaic ?,HUM,gr,3,210
what does the word laser mean ?,ABBR,exp,0,855
name a french fascist party .,HUM,gr,3,3278
how many gallons of water go over niagra falls every second ?,NUM,count,5,4372
what do bee hives do in cranberry bogs ?,DESC,desc,1,481
who was the president of vichy france ?,HUM,ind,3,2781
what is the highest peak in africa ?,LOC,mount,4,436
in what year was de gaulle elected president of france ?,NUM,date,5,172
what was the vietnam war ?,DESC,def,1,2862
what is the term for a group of geese ?,ENTY,termeq,2,1777
how is answers.com funded ?,DESC,manner,1,5054
what city was bobby kennedy assassinated in ?,LOC,city,4,3481
"what dropped 1 , 313 feet in 1980 ?",ENTY,other,2,3466
what future movie treat was introduced to american colonists in 1603 by native americans ?,ENTY,food,2,3968
what 's the northernmost u.s. state apart from alaska ?,LOC,state,4,1359
"in a computer , what does scsi mean ?",ABBR,exp,0,3662
what mediterranean island is home to the first club med ?,LOC,other,4,3230
what was the man 's name who was killed in a duel with aaron burr ?,HUM,ind,3,3406
what does the acronym cpr mean ?,ABBR,exp,0,4559
what does ph stand for ?,ABBR,exp,0,5013
"when reading classified ads , what does eenty : other stand for ?",ABBR,exp,0,590
what does nasdaq stand for ?,ABBR,exp,0,308
how do i find a web address for a company ?,DESC,manner,1,5079
where is qatar ?,LOC,other,4,4062
what mary tyler moore show regular came into the world as tadeus wladyslaw konopka ?,ENTY,cremat,2,1693
name a film in which jude law acted .,ENTY,cremat,2,563
who gave abbie hoffman his first dose of lsd ?,HUM,ind,3,3021
what was the business of the animated sky hawks ?,HUM,gr,3,1699
what is a fear of fur ?,ENTY,dismed,2,1754
who invented the process to make condensed milk ?,HUM,ind,3,4099
who was camp david named for ?,HUM,ind,3,1681
what is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBR,abb,0,4310
when does menstruation begin ?,NUM,date,5,5231
who makes the `` cross-your-heart bra '' ?,HUM,ind,3,4452
what is the abbreviation of the company name ` general motors ' ?,ABBR,abb,0,382
what is the average weight for a man ?,NUM,weight,5,2264
what is bph ?,ABBR,exp,0,309
how do you clean badly tarnished brass ?,DESC,manner,1,3783
where does the weird shape of the dinner fish knife originate from ?,LOC,other,4,2208
how do you solve `` rubik 's cube '' ?,DESC,manner,1,791
what color is the cross on switzerland 's flag ?,ENTY,color,2,3749
what war did the potsdam conference follow ?,ENTY,event,2,1809
how many dollars a day did arthur frommer say you could get by on in europe in 1968 ?,NUM,count,5,3658
what two south american countries do n't border brazil ?,LOC,country,4,157
how many minutes were there on the original ge college bowl clock ?,NUM,count,5,1270
what color are a cherry tree 's flowers ?,ENTY,color,2,4122
what does lol mean ?,ABBR,exp,0,2143
how many wings does a flea have ?,NUM,count,5,2226
what is the fear of the computer called ?,ENTY,dismed,2,3260
who is known as `` the world 's oldest teenager '' ?,HUM,ind,3,1242
what is software piracy ?,DESC,def,1,3426
how many calories are there in soy sauce ?,NUM,count,5,3008
when will jean aeul publish her next book ?,NUM,date,5,1830
"what 's played at wembley stadium , london , every may ?",ENTY,sport,2,4771
what time of year do most people fly ?,NUM,date,5,2820
which killer whale died at sea world of a fungal infection ?,ENTY,animal,2,871
how many colors are there in a rainbow ?,NUM,count,5,4432
what is the abbreviated expression for the national bureau of investigation ?,ABBR,abb,0,669
for what reason did some san diego schools stop serving apples ?,DESC,reason,1,1262
"what does caliente mean , in english ?",DESC,def,1,2547
what are the low countries ?,DESC,def,1,3653
what 's the name of the wilkes plantation in gone with the wind ?,LOC,other,4,3542
how long were tyrannosaurus rex 's teeth ?,NUM,dist,5,1913
who was picasso ?,HUM,desc,3,4902
what is the oldest ethnological museum in the world ?,LOC,other,4,2272
what card company sells christmas ornaments ?,HUM,gr,3,2773
what is compaq 's mission statement ?,DESC,desc,1,2475
when did mount st. helen last have a significant eruption ?,NUM,date,5,261
what 's the longest river in the world ?,LOC,other,4,902
how much money are dumbo 's ears insured for ?,NUM,money,5,431
what is the meaning of the name ella ?,DESC,def,1,1474
"what product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?",ENTY,product,2,4948
what hair color can i use to just cover a little gray ?,ENTY,color,2,4501
what is the weight of a teaspoon of matter in a black hole ?,NUM,weight,5,3297
what is the chromosome number of an elephant ?,NUM,count,5,900
what is the origin of the surname of braun ?,DESC,desc,1,946
what does snafu stand for ?,ABBR,exp,0,3960
what does nn o `` mean when used as a prefix in irish surnames ?,ABBR,exp,0,981
what are the lyrics to `` smelly cat '' ?,DESC,desc,1,3321
what 's the population of mississippi ?,NUM,other,5,1856
how does one correctly pronounce ` qigong ' ?,DESC,manner,1,1864
what 's the abbreviation for trinitrotoluene ?,ABBR,abb,0,1985
what is measured in curies ?,DESC,def,1,804
what island was the target of the u.s. 's operation urgent fury ?,LOC,other,4,4737
"what do the letters ce stand for on so many products , particularly electrical , purchased now ?",ABBR,exp,0,4263
what does nasa stand for ?,ABBR,exp,0,3521
what is difference between a poster and a print ?,DESC,desc,1,3103
"what tv character said ; `` one of these days , alice , pow , right in the kisser '' ?",HUM,ind,3,2639
what is the world 's highest peak ?,LOC,mount,4,1294
what nationality was jackson pollock ?,LOC,country,4,1703
what actor married john f. kennedy 's sister ?,HUM,ind,3,795
what writer-journalist made his mark describing colorful broadway and underworld characters ?,HUM,ind,3,3074
"whose special bear 's creator was born on january 18 , 1779 ?",HUM,ind,3,2695
what tennis player has the nickname `` nasty '' ?,HUM,ind,3,3681
what war did florence nightingale tend the troops in ?,ENTY,event,2,378
what is deet ?,ABBR,exp,0,3098
on which flight did fawaz younis commit air piracy and hostage taking ?,ENTY,veh,2,2103
"what river runs through colorado , kansas , and oklahoma ?",LOC,other,4,3337
what are the names of the different toes ?,ENTY,body,2,2151
where did honecker rule ?,LOC,other,4,1538
"what is deadrise , nautical , ?",DESC,def,1,2036
what is the weight of air ?,NUM,weight,5,4050
what 's the abbreviation for limited partnership ?,ABBR,abb,0,2534
what does rca stand for ?,ABBR,exp,0,4600
how many people are there in the world ?,NUM,count,5,218
how do storms form ?,DESC,manner,1,1399
how many people died when the estonia sank in 1994 ?,NUM,count,5,4541
who is the superstar in rent-a-cars ?,HUM,ind,3,508
what did vasco da gama discover ?,ENTY,other,2,4824
what u.s. state ends with a g ?,LOC,state,4,1676
